view_history,rt,part,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,stimulus,key_press,button_pressed,make_sense,correct,responses,correct_letters,set_number,size,letters_recalled,audio_id,audio_file,retransc
,,,fullscreen,0,42047,0.0-0.0,2,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":16638.380000018515},{""page_index"":1,""viewing_time"":9380.35999998101},{""page_index"":2,""viewing_time"":4714.625000022352}]",30742.905000021,instruction,instructions,1,72792,0.0-1.0,2,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":5132.215000019642},{""page_index"":1,""viewing_time"":2351.639999978943}]",7484.6149999939,instruction,instructions,2,80287,0.0-2.0,2,,,,,,,,,,,,,
,,Pause,html-keyboard-response,3,81301,0.0-3.0,2,"",,,,,,,,,,,,
,3531.329999998,sentence-pre,html-button-response,4,84840,0.0-4.0,2,"<p style='font-size: 1.3em'>When I get up in the morning, the first thing I do is feed my dog.</p>",,1,1,1,,,,,,,,
,,letter-pre,html-keyboard-response,5,85849,0.0-5.0,2,<p class='mono' style='font-size: 2.5em' >H</p>,,,,,,,,,,,,
,4600.3350000246,sentence-pre,html-button-response,6,90770,0.0-6.0,2,"<p style='font-size: 1.3em'>After yelling at the game, I knew I would have a tall voice.</p>",,0,0,1,,,,,,,,
,,letter-pre,html-keyboard-response,7,91779,0.0-7.0,2,<p class='mono' style='font-size: 2.5em' >K</p>,,,,,,,,,,,,
,4390.4200000106,sentence-pre,html-button-response,8,96501,0.0-8.0,2,<p style='font-size: 1.3em'>Mary was asked to stop at the new mall to pick up several items.</p>,,1,1,1,,,,,,,,
,,letter-pre,html-keyboard-response,9,97519,0.0-9.0,2,<p class='mono' style='font-size: 2.5em' >L</p>,,,,,,,,,,,,
,7235.4399999895,sentence-pre,html-button-response,10,105070,0.0-10.0,2,"<p style='font-size: 1.3em'>When it is cold, my mother always makes me wear a cap on my head.</p>",,0,1,0,,,,,,,,
,,letter-pre,html-keyboard-response,11,106082,0.0-11.0,2,<p class='mono' style='font-size: 2.5em' >N</p>,,,,,,,,,,,,
,8021.2199999951,recall-pre,survey-html-form,12,114429,0.0-12.0,2,,,,,0,"{""response"":""HKNL""}",HKLN,1,4,HKNL,,,
